splimage,splshape_text,splimprint,splcolor_text
00093-8122-01_NLMIMAGE10_75363A81,DIAMOND,N;596;4,WHITE
649800104,CAPSULE,RIS;104,WHITE
00173-0633-10_3D191EB8,HEXAGON (6 SIDED),LAMICTAL;25,WHITE
00093-5509-44_NLMIMAGE10_F8437C7B,OVAL,T21,WHITE
00002-4772-90_8C16C656,ROUND,4;KC,WHITE
00093-7291-53_2A161520,OVAL,TEVA;7291,PINK
65862-0374-01_NLMIMAGE10_144A0A00,OVAL,F;5;4,WHITE
510790027,ROUND,MP;66,WHITE
519910467,ROUND,TL;211,ORANGE
00603-6240-21_D11268D3,ROUND,5971;V,WHITE
52536-0251-03_NLMIMAGE10_533BA9BD,ROUND,H009,ORANGE
422910302,CAPSULE,IP103,BROWN
13668-0107-90_NLMIMAGE10_A047502A,ROUND,107,YELLOW
00555-0658-02_NLMIMAGE10_FA41FD3F,CAPSULE,barr;658,RED;WHITE
605050208,ROUND,APO;5;12;5,RED
00093-1138-56_NLMIMAGE10_6A383511,CAPSULE,TEVA;1138,YELLOW
162520534,CAPSULE,SL;50,WHITE
00228-2717-11_56232B19,ROUND,R;717,YELLOW
504580343,CAPSULE,McNEIL;MT;16,ORANGE
00555-0787-02_NLMIMAGE10_B241D93E,CAPSULE,M;Amphet;Salts;10;mg,BLUE
00591-5643-01_7908BCB5,ROUND,DAN;5643;10,WHITE
27309b03-7edc-33a6-e054-00144ff88e88,ROUND,AP;013,WHITE
504580588,OVAL,alza;27,GRAY
00555901467part1of2,ROUND,b;965,PINK
649800195,OVAL,LOTENSINHCT;453,GRAY
0.5_mg_Clonazepam_Tablet,ROUND,832;TEVA,YELLOW
16571-0215-22_NLMIMAGE10_4D4326F9,CAPSULE,TP;500,PINK
633040828,OVAL,RX828,WHITE
669930114,CAPSULE,GS;EUG;225,WHITE
50458-0650-60_4B16A585,OVAL,O;M;650,YELLOW
00173-0675-02_A019500A,ROUND,GX;CM3,PINK
00173-0758-60_E31971FB,ROUND,LAMICTAL;XR;50,GREEN
76439-0124-10_NLMIMAGE10_CA406523,CAPSULE,I;2,YELLOW
00555-0882-02_9B304DA2,CAPSULE,barr;882,PURPLE;PINK
00008-0607-01_D10868B3,OVAL,PROTONIX,YELLOW
00178-0615-01_581DAC0D,RECTANGLE,M15,YELLOW
498840658,ROUND,ACF;004,WHITE
00008-0606-01_BF085FE2,OVAL,P;20,YELLOW
669930060,ROUND,GX;CM3,PINK
605052665,ROUND,LAM;150;APO,YELLOW
477810341,ROUND,PRECOSE;50,WHITE
00093-5292-01_NLMIMAGE10_42422131,CAPSULE,93;5292;93;5292,WHITE;BLUE
60505-3674-03_DC086E23,ROUND,GSK;25,PINK
00173-0178-55-splimage30-af18d7a6,ROUND,WELLBUTRIN;100,RED
50419-0702-05_SPLIMAGE30_531929C9,ROUND,60;ADALAT;CC,PINK
00093-7325-01_852D42DA,OVAL,9;3;7325,ORANGE
605051201,CAPSULE,APO;C500,WHITE
510790697,ROUND,LH1;M,WHITE
605052604,OVAL,APO;ZOL;5,PINK
00093-7286-89_D62FEB6F,OVAL,9;3;7286,YELLOW
64980-0141-06_B612DB06,ROUND,cor;188,YELLOW
59762-1301-01_292114A8,ROUND,C;74,PINK
00074-3040-11_DB1D6DFB,OVAL,SOLVAY;5046,WHITE
00143-1473-01_A8205472,ROUND,WEST;WARD;473,WHITE
00002-4770-90_9516CAA6,ROUND,1;KC,WHITE
00555-0765-02_NLMIMAGE10_734239C1,ROUND,12;5;d;p,ORANGE
501110395,ROUND,b;1116,WHITE
68382-0059-01_311298D4,OVAL,WAR;10,WHITE
854291a5-8e2e-0e91-e053-2a91aa0a74fb,ROUND,Chlorphen;12,ORANGE
62756-0552-88_NLMIMAGE10_9D3C4EB2,OVAL,552,YELLOW
00078-0360-34_F015780B,OVAL,NVR;DXL,GRAY;PURPLE
31722-0538-12_NLMIMAGE10_FB467D93,OVAL,H;90,ORANGE
00185-0644-01_NLMIMAGE10_8A1C4552,CAPSULE,E882,GRAY
605053670,ROUND,GSK;37;5,BLUE
647640119,OVAL,AR;374,PURPLE
762820328,ROUND,IG;W;2,PURPLE
651620053,OVAL,IP;53,PINK
498840829,CAPSULE,R;2588,GRAY
00173-0755-00_BC15DE0E,ROUND,LAMICTAL;XR;50,GREEN
504580398,ROUND,JANSSEN;G;12,BROWN
420430140,CAPSULE,KLX;140,WHITE;GREEN
00781-5182-01_C820E477,CAPSULE,75;GG;333,PURPLE
33342-0032-10_NLMIMAGE10_8D4146CA,OVAL,CL;3,WHITE
669930478,OVAL,GX;CG5,YELLOW
16252-0506-50_3D061E80,ROUND,SV;10,PINK
00555901058part1of2,ROUND,b;949,YELLOW
60505-3562-09_NLMIMAGE10_A33A51D2,SQUARE,APO;M10,BROWN
50844-0375-02_NLMIMAGE10_9F35CFAE,OVAL,44;375,GREEN
68382-0776-01_NLMIMAGE10_75463AD1,ROUND,KTAB,YELLOW
00781-5626-60_NLMIMAGE10_633EB1C5,OVAL,SZ441,WHITE
53746-0189-01_A11B50DA,CAPSULE,IP189;375,WHITE
600_mg_Gabapentin_Tablet,OVAL,ZE;72,WHITE
00076-0111-01_9912CCC6,CAPSULE,S;111,PURPLE
651620641,ROUND,AN;641,WHITE
00093-0054-01_7226B965,ROUND,TEVA;54,WHITE
605052761,ROUND,APO;TP;50,YELLOW
53489-0648-01_D31DE9BF,CAPSULE,Mutual;866,WHITE;TURQUOISE
63459070060,CAPSULE,15;mg;C;Cephalon,ORANGE
634590201,OVAL,PROVIGIL;200;MG,WHITE
162520508,ROUND,SV;40,PINK
51285-0083-70_NLMIMAGE10_322F991C,ROUND,b;247,BROWN
00555-0095-96_NLMIMAGE10_AF4257C2,ROUND,b;95;1;4,WHITE
59630-0702-48_1E1B8F7C,ROUND,ORA;30,WHITE
2356c567-01df-0827-e054-00144ff88e88,CAPSULE,175;GG;339,PURPLE
420230144,CAPSULE,144,ORANGE;BROWN
61442-0126-10_5B08ADB5,ROUND,5,YELLOW
00378-3475-01_6F243791,ROUND,M;475,PINK
62175-0485-37_9012C816,CAPSULE,KU;485;100;mg,WHITE;PURPLE
630100021,OVAL,RESCRIPTOR;200;mg,WHITE
523430060,ROUND,C;74,PINK
00172-2407-80_A60ED366,CAPSULE,Z;2407,BLACK;YELLOW
673860311,OVAL,1;0,WHITE
59762-1417-03_7F08BFB5,CAPSULE,0;9;A,BROWN
634020306,OVAL,L;60,WHITE
597621415,CAPSULE,11;A,WHITE
477810340,ROUND,PRECOSE;25,WHITE
510790892,ROUND,E;129,YELLOW
498840105,TRIANGLE,BMS;1612,PINK
00603-3442-28_4805A47D,OVAL,2706;V,ORANGE
50419-0403-01_SPLIMAGE30_9D194EBA,ROUND,M,ORANGE
51224-0154-50_NLMIMAGE10_BE49DF4E,ROUND,58,WHITE
00591-0343-01_10128854,ROUND,WATSON;343,WHITE
51285043165part1of4,ROUND,TV;076,PINK
136680096,OVAL,96,WHITE
00093-0787-01_AE26D766,ROUND,787;TEVA,WHITE
00115-1072-01_4205A17D,ROUND,C83,WHITE
image2890,CAPSULE,2890;2890,BLUE
54505-0332-10_NLMIMAGE10_123B891C,ROUND,CP;332,WHITE
521520344,ROUND,E;722,BLUE
00378-6231-01_6B2135D9,ROUND,MX31,ORANGE
5e20a7f1-71ba-4604-e053-2a91aa0af860,OVAL,IMI;10,RED
516724132,ROUND,TARO;LMT;150,WHITE
100_mg_Posaconazole_Tablet,OVAL,100,YELLOW
00054-4130-25_890544AA,ROUND,54-980,BLUE
604290769,ROUND,IG;278,WHITE
00093-5062-05_942D4A5A,ROUND,TV;309,WHITE
49884-0513-03_881B441A,CAPSULE,Par;513,WHITE
584680124,OVAL,g,ORANGE
646790921,ROUND,W;921,WHITE
00185-0204-01_A123509A,OVAL,E204,PINK
615700074,OVAL,M74,GREEN
11822-0691-01_NLMIMAGE10_52392909,OVAL,44;344,WHITE
16714-0400-02_NLMIMAGE10_8C44C616,OVAL,A33,WHITE
274370110,CAPSULE,130;ANTARA;LUPIN,GREEN;WHITE
00002-3251-30_451E2281,CAPSULE,LILLY;3251;100;mg,BROWN
498840104,TRIANGLE,BMS;1611,WHITE
00093-5293-01_NLMIMAGE10_46422341,CAPSULE,93;5293;93;5293,WHITE
59746-0246-10_C80E6463,ROUND,J;246,WHITE
23155-0102-10_NLMIMAGE10_D93DEC8F,ROUND,H;102,WHITE
00378-5510-93_NLMIMAGE10_DE44EF57,ROUND,M;OE1,YELLOW
627560250,ROUND,A1,WHITE
00093-5501-01_CF2D679B,ROUND,G;2442,YELLOW
516724111,CAPSULE,TARO;PHN;100,ORANGE
546290601,OVAL,NV12,RED
250100405,ROUND,Aton;405;Mephyton,YELLOW
50419-0701-05_SPLIMAGE30_091904A8,ROUND,30;ADALAT;CC,PINK
101470902,ROUND,200;ER,WHITE
609510655,CAPSULE,E655;60,ORANGE
459630556,CAPSULE,2666;2666,YELLOW;BROWN
59762-1416-03_4704A3C5,CAPSULE,0;8;A,YELLOW
76439-0123-10_NLMIMAGE10_6A3DB50D,CAPSULE,I;1,PINK
246580240,OVAL,WW65,WHITE
68382-0097-06_D2086973,ROUND,ZC;15,WHITE
458020486,OVAL,L486,RED;WHITE
00186-0322-54_F512FAE7,OVAL,ACJ;322,YELLOW
498840028,ROUND,Par;028,ORANGE
00093-5215-01_562BAB0D,OVAL,9;3;5215,YELLOW
658620003,CAPSULE,0;9;A,BROWN
504580325,SQUARE,R2,ORANGE
131070007,CAPSULE,A;0;7,WHITE
00002-3235-60_1B158D9C,CAPSULE,LILLY;3235;20;mg,GREEN
605050266,ROUND,APO;BE;10,YELLOW
00093-5710-01_3F2B9FCC,OVAL,5710;1;25;250,YELLOW
00093-5537-56_NLMIMAGE10_5642AB05,ROUND,93;E7,BLUE
643760605,ROUND,BP;605,WHITE
00591-2521-01_NLMIMAGE10_C63F630B,ROUND,3969;WPI,WHITE
55111-0606-01_NLMIMAGE10_C94164FB,CAPSULE,R;7,YELLOW
00093-5207-01_782BBC1D,ROUND,G342,PINK
00093614882part2of2,ROUND,b;556,YELLOW
293000187,ROUND,UL;l,YELLOW
68180-0756-01_NLMIMAGE10_473DA3FD,CAPSULE,LU;E12,YELLOW
633040581,ROUND,RE;76,WHITE
51285-0595-02_EE2FF76F,OVAL,OP;701,ORANGE
50111091801,OVAL,PA;918,WHITE
477810100,CAPSULE,SG;100,WHITE
2be54360-05f8-68c8-e054-00144ff8d46c,ROUND,FC,YELLOW;PINK;ORANGE
31722-0551-90_NLMIMAGE10_A640D316,ROUND,161;H,WHITE
50111091701,ROUND,PA;917,WHITE
505800501,OVAL,TYLENOL;325;HOSPITAL,WHITE
504740599,OVAL,UCB;750XR,WHITE
534890119,CAPSULE,Mutual;105,BLUE
62037-0674-10_D108E8C7,ROUND,Andrx;674;500,WHITE
00093-7157-06_4D2BA68D,OVAL,93;7157,YELLOW
51285-0084-98_NLMIMAGE10_F6367B33,ROUND,b;978,PINK
823163e2-b271-431d-e053-2991aa0a9ae8,ROUND,FC,PINK
00093-7306-06_NLMIMAGE10_BC42DE66,CAPSULE,TEVA;7306,WHITE;ORANGE
651620441,OVAL,AN;441,BLUE
605050157,ROUND,APO;BUP;100,PURPLE
00054-0037-21_BD1B5EBA,CAPSULE,54;312,WHITE
16729-0019-01_NLMIMAGE10_423C2151,OVAL,AHI;500,PURPLE
00093-5248-65_NLMIMAGE10_9235C97E,ROUND,TV;U4;20,YELLOW
673860314,OVAL,1;0,WHITE
51285010388,ROUND,G00,WHITE
449461045,OVAL,SCI7,YELLOW
99207-0463-30_EB1C75E3,OVAL,DYN;065,BLUE
605052659,OVAL,APO;T300;100;100;100,WHITE
675460111,ROUND,ALINIA;500,YELLOW
68462-0500-33_NLMIMAGE10_CA3CE547,ROUND,F11,WHITE
498840535,OVAL,PROVIGIL;200;MG,WHITE
00378-7003-93_74243A01,ROUND,M;N3,BLUE
504580290,CAPSULE,JANSSEN;SPORANOX;100,PINK;BLUE
00603-3857-21_4F2027D1,ROUND,3572;V,ORANGE
00555904758part2of4,ROUND,dp;511,WHITE
764390308,ROUND,10,WHITE
669930210,CAPSULE,3125;VANCOCIN;HCL;125;MG,BLUE;BROWN
00527-1315-01_BE0EDF06,CAPSULE,LANNETT;1315,RED
00555-9032-70_NLMIMAGE10_522FA90D,ROUND,b;711,PINK
604290097,ROUND,par;56,GREEN
76439-0102-50_NLMIMAGE10_3A3D9D0C,CAPSULE,802,WHITE
68180-0758-01_NLMIMAGE10_483DA45D,CAPSULE,LU;E14,PURPLE
633040435,ROUND,450;PLENDIL,GREEN
162520514,ROUND,CR;250,WHITE
491580506,CAPSULE,ETO;300;MG,PINK
00173-0949-55-splimage30-3219995c,HEXAGON (6 SIDED),ZOVIRAX,WHITE
00007-4892-20_BE18DF56,FREEFORM,SB;4892,GREEN
615700079,CAPSULE,Tigan;M079,PURPLE
597460175,ROUND,TL175,PINK
00378-1819-01_3F239FBC,OVAL,M;L;13,PINK
605050145,CAPSULE,APO;010,PINK;BROWN
51285-0114-58_9D2DCE8E,ROUND,dp;457,YELLOW
243380110,OVAL,74;ZE,PINK
667580190,OVAL,KC;M20,WHITE
596300112,CAPSULE,KEFLEX;250;mg,WHITE;GREEN
476820101,ROUND,AZ;036,WHITE
63304-0830-90_E91C7493,OVAL,RX830,WHITE
64980-0140-06_B212D956,ROUND,cor;187,WHITE
00378-0351-01_6E07B75D,ROUND,MYLAN;351,ORANGE
669930121,OVAL,FP650,WHITE
00406-0360-05_CE15E70F,OVAL,M360,WHITE
55111-0422-30_CA15651B,OVAL,RDY;422,WHITE
23155-0246-01_NLMIMAGE10_093D04C8,OVAL,HP;246,ORANGE
00115-4222-01_NLMIMAGE10_ED45F6CF,ROUND,G;422,ORANGE
682200160,CAPSULE,DIPENTUM;250;mg,WHITE
597625012,OVAL,G;5012,ORANGE
597460384,CAPSULE,TL384,WHITE
683820094,ROUND,ZC41,WHITE
00071-0155-23_711C38F1,OVAL,PD;155;10,WHITE
00054-0166-25_6A1DB56D,OVAL,54;135,WHITE
605053779,CAPSULE,EffexorXR;75,ORANGE
620370675,ROUND,Andrx;675;850,WHITE
633040591,OVAL,AAT;102,BLUE
521520342,ROUND,E;19,BLUE
00093-5245-65_NLMIMAGE10_9735CB8E,ROUND,TV;U1;5,YELLOW
597620182,CAPSULE,EffexorXR;150,ORANGE
633040459,OVAL,8;NO,YELLOW
633040437,ROUND,452;PLENDIL,RED
63304-0794-01_F607FB3F,ROUND,RX794,WHITE
597626002,OVAL,G;5002,WHITE
516724034,OVAL,7;1;2;WARFARIN;TARO,YELLOW
317220202,ROUND,202;IG,WHITE
29300-0114-05_NLMIMAGE10_553E2A91,TRIANGLE,U;U;114,BLUE
628560243,ROUND,ACIPHEX;20,YELLOW
00186-1092-05_191D8CEC,ROUND,A;ms,WHITE
00378-1823-01_D723EBAF,OVAL,M;L;15,TURQUOISE
504580657,ROUND,300;ER,WHITE
00093-2055-06_B12B588A,ROUND,DT,WHITE
534890387,ROUND,10;MP;89,WHITE
578960911,ROUND,AZ;013,ORANGE
00085-1733-03_SPLIMAGE30_2619935C,OVAL,BAYER;M400,RED
428650102,CAPSULE,EURAND;15,RED;WHITE
00591-0242-10_C216E157,ROUND,242;2;WATSON,WHITE
162520543,ROUND,TN4,WHITE
55111-0159-01_DA0E6D63,CAPSULE,Omeprazole;40mg;R159,WHITE
47335-0614-81_NLMIMAGE10_9B3F4DAA,CAPSULE,S;750,PINK
00002-4463-30_B5155ACA,OVAL,C;10,YELLOW
4adb245a-eb8e-5059-e054-00144ff8d46c,ROUND,DR,PINK
00093-5503-56_NLMIMAGE10_A8365432,CAPSULE,TEVA;5503,BROWN
59746-0115-06_2C0E1660,ROUND,TL115,GREEN
504580590,OVAL,Ris;0;25;PATR,YELLOW
44946-1009-03_NLMIMAGE10_1D3C0EF0,ROUND,SCI;1007,WHITE
00143-9740-01_NLMIMAGE10_E249716B,ROUND,Westward;475,WHITE
00093-2048-56_632B3189,ROUND,ACTOS;15,WHITE
5b709152-f440-f5e6-e053-2991aa0a3ffa,ROUND,FR2,ORANGE
683820050,ROUND,ZC;25,YELLOW
596300777,CAPSULE,N;750,WHITE
672530011,CAPSULE,Sandoz;663,BLUE
655970112,ROUND,C75,WHITE
630440622,OVAL,z622,BLACK
55111-0154-30_NLMIMAGE10_32411938,ROUND,R;154,YELLOW
57844032401,CAPSULE,Lofibra;200;mg;Gate;324,ORANGE
00006-0277-54_16160B30,ROUND,277,BROWN
00093-4339-01_B82DDC0E,CAPSULE,4339;10;mg,WHITE
00591-3211-60_2E1C9744,CAPSULE,WATSON;3211,BROWN;ORANGE
597622001,CAPSULE,G;2001,BLUE;WHITE
683820761,OVAL,KT,YELLOW
59762-5022-01_DE1C6F53,OVAL,G;021;40,BROWN
53489-0177-01_DB03EDDF,ROUND,MP;88,WHITE
591480020,TRIANGLE,OTSUKA;15,BLUE
65597-0104-90_14130A78,OVAL,Sankyo;C15,WHITE
504580640,ROUND,OMN;50,YELLOW
00093-1138-56_NLMIMAGE10_6A383511,CAPSULE,TEVA;1138,YELLOW
31722-0377-02_NLMIMAGE10_513DA8AD,CAPSULE,667mg;IG377,BLUE
658620032,CAPSULE,10;A,WHITE
00591-2317-19_NLMIMAGE10_AA3D556A,OVAL,VH3,BROWN
317220206,ROUND,206;IG,YELLOW
50111043401,ROUND,PLIVA;434,WHITE
00093-5385-06_FB27FDFF,OVAL,TV;TV;L2;L2,WHITE
615700120,CAPSULE,Altace;10;mg;MP,BLUE
16729-0006-17_5812AC25,OVAL,S6,RED
521520343,ROUND,E;721,BLUE
540920172,CAPSULE,CARBATROL;200;mg,GRAY;GREEN
604290188,ROUND,APO;T100,WHITE
231550004,ROUND,HP;4,PINK
597621812,CAPSULE,F;12,BLUE
47335-0637-68_NLMIMAGE10_47462391,ROUND,637,WHITE
00054-4179-25_7715BBBD,ROUND,54;299,YELLOW
605050129,ROUND,APO;25;100,YELLOW
00093-7158-06_312B98DC,OVAL,93;7158,YELLOW
00555900867part1of2,ROUND,b;941,YELLOW
00173-0595-00_10230838,OVAL,GXFC3,WHITE
139250104,ROUND,TL014,GRAY
00093-5514-89_NLMIMAGE10_B33659D2,CAPSULE,93;5514;93;5514,BLACK;GREEN
59148-0006-13_97154BCA,RECTANGLE,A;006;2,GREEN
68180-0185-06_NLMIMAGE10_B33BD98E,CAPSULE,LU;R31,YELLOW
428580301,ROUND,P;2,ORANGE
605052546,CAPSULE,APO;50,WHITE;GRAY
1c84d1d5-2318-5f9b-e054-00144ff88e88,ROUND,325,WHITE
540920063,CAPSULE,S063,WHITE
683820228,OVAL,FI,YELLOW
49884-0289-01_5208A965,ROUND,Par;289,WHITE
68382-0078-16_NLMIMAGE10_C54062E3,CAPSULE,135;a,YELLOW;BLUE
13668-0136-05_NLMIMAGE10_02470138,ROUND,11;36,WHITE
597623722,OVAL,G3722,WHITE
964e5af0-d8ae-8536-e053-2a95a90a601f,ROUND,DR,PINK
00378-2675-01_E52372EB,ROUND,M;37,BLUE
65862-0176-99_NLMIMAGE10_4A472569,CAPSULE,E;8;5,WHITE
309,OVAL,LOR10,WHITE
16714-0233-02_D307E9FF,OVAL,P126;500,BLUE
597623740,ROUND,G3740,ORANGE
00093-7037-56_NLMIMAGE10_7643BB4D,ROUND,TV;7037,YELLOW
68180-0711-60_BB135DBA,CAPSULE,LUPIN;CEFDINIR,BLUE;PURPLE
00591-5335-01_501DA84D,ROUND,DAN;DAN;5335,WHITE
00603-2216-21_54242A11,ROUND,2105;V,RED
00555-9012-58_NLMIMAGE10_7F2FBFBD,ROUND,b;943,ORANGE
675440982,ROUND,MYLAN;777,WHITE
317220222,CAPSULE,IG322;300mg,YELLOW
63459022530,OVAL,C;225,WHITE
51285005002,ROUND,b;50,PINK
540920173,CAPSULE,CARBATROL;300;mg,BLACK;GREEN
68462-0406-10_NLMIMAGE10_2E3B1778,CAPSULE,G406;G,GREEN
57664-0745-88_NLMIMAGE10_F33D79CB,ROUND,745;C,YELLOW
00093-8121-01_NLMIMAGE10_7F363FC1,OVAL,N;593;2,WHITE
231550017,CAPSULE,HP;17,YELLOW;BLUE
7c7105dd-dfe0-688b-e053-2a91aa0a43b6,OVAL,LPC;HMI,WHITE
59148-0011-13_A31551CA,ROUND,A;011;30,PINK
00591-3973-01_4A07A52D,OVAL,93;7457,PINK
00093313482part1of2,ROUND,b;555,BLUE
00093-3125-01_DD26EEA7,CAPSULE,TEVA;3125,GREEN;GREEN
59762-5033-02_8015C00E,ROUND,GLIPIZIDE;XL;10,WHITE
683820042,ROUND,ZC03,WHITE
607930284,ROUND,KPI;284;Corzide;80;5,WHITE
00186-1088-05_A61C5302,OVAL,AB,WHITE
68462-0329-01_C3126183,OVAL,G38,BROWN
00173-0177-55-splimage30-7a18bd05,ROUND,WELLBUTRIN;75,YELLOW
31722-0778-01_NLMIMAGE10_474423E1,OVAL,J;50,BLUE
68180-0222-01_NLMIMAGE10_503C2841,CAPSULE,LU;D12,ORANGE
00591-5513-10_89084482,ROUND,DAN;5513,WHITE
00054-4130-25_890544AA,ROUND,54;980,BLUE
498840106,OVAL,56;H,WHITE
64980-0111-01_98234C1A,ROUND,cor;143,WHITE
51285012698part1of2,ROUND,b;977,YELLOW
669930211,CAPSULE,3126;VANCOCIN;HCL;250;MG,BLUE;PURPLE
576640117,OVAL,117,YELLOW
658620286,ROUND,D;5;7,WHITE
243380126,OVAL,A;ED,WHITE
50111046701,ROUND,PLIVA;467,ORANGE
68382-0197-16_F60DFB6F,ROUND,P2,BLUE
494830222,CAPSULE,TCL;1222,BLUE;YELLOW
65862-0620-90_NLMIMAGE10_9E4B4F5A,OVAL,D;17,BROWN
65862-0098-01_BC16DE56,RECTANGLE,C;80,YELLOW
68180-0513-03_3F199F8C,ROUND,5,PINK
605052551,OVAL,GAB;600;APO,WHITE
68180-0568-01_NLMIMAGE10_9741CB8E,ROUND,LU;H03,RED
435980206,OVAL,AUGMENTIN;500;125;,WHITE
762820335,ROUND,IG;W;10,WHITE
2e92d053-1618-143b-e054-00144ff8d46c,ROUND,AP;045,PINK
00078-0314-34_F6157B0B,OVAL,CG;HGH,ORANGE
68462-0224-01_9216C956,ROUND,224;G;breakline,YELLOW
669930053,ROUND,5,YELLOW
68180-0121-02_NLMIMAGE10_433DA1BD,CAPSULE,250;LUPIN,WHITE;GREEN
627560258,CAPSULE,258;258,WHITE;WHITE
62175-0487-37_9012C846,CAPSULE,KU;487;300;mg,PURPLE
41616-0759-83_671DB3BD,ROUND,759,PINK;WHITE
00781-5443-01_NLMIMAGE10_E53872C3,ROUND,ELP;10,BROWN
664790592,CAPSULE,X592,YELLOW
249870562,DOUBLE CIRCLE,PLAQUENIL,WHITE
684620165,ROUND,G41;25,WHITE
16714-0297-02_NLMIMAGE10_6F44B7A5,CAPSULE,X;3;2,WHITE
57664-0477-58_8405C24E,ROUND,477,WHITE
68180-0760-01_NLMIMAGE10_513DA8DD,CAPSULE,LU;E16,BLUE;WHITE
00002-4771-90_8F16C7A6,ROUND,2;KC,WHITE
68382-0080-01_8407C20E,OVAL,ZC;08,GREEN
00143-9717-10_9807CC5E,ROUND,IG;210,YELLOW
764390107,ROUND,5,BLUE
68180-0501-01_08240460,ROUND,7;5,YELLOW
677670171,ROUND,A;171,YELLOW
68180-0337-07_NLMIMAGE10_DE3C6F23,OVAL,Q22;LU,WHITE
13668-0091-90_NLMIMAGE10_B645DB3E,ROUND,91,WHITE
510790871,OVAL,BIOCRAFT;105;105,WHITE
64764-0560-30_NLMIMAGE10_5A3A2D71,TEAR,10;TL,YELLOW
634810668,OCTAGON (8 SIDED),E;5,YELLOW
16571-0402-50_NLMIMAGE10_903AC856,BULLET,CTN;10,WHITE
523430044,CAPSULE,D;01,WHITE
605052880,ROUND,APO;RAN;150,PINK
597620158,OVAL,PD;158;80,WHITE
00378-4151-01_2A21954C,ROUND,M;T7,WHITE
317220208,ROUND,208;IG,WHITE
683820093,ROUND,ZC40,WHITE
43199-0038-01_NLMIMAGE10_5644AB15,ROUND,CL38;200,WHITE
133100102,OVAL,AR;788,WHITE
317220201,ROUND,201;IG,WHITE
00555-0094-96_NLMIMAGE10_AA425552,ROUND,b;94;1;8,WHITE
498840659,ROUND,ACG;008,PINK
00093-0221-06_9F294FDA,ROUND,93;221,YELLOW
605050131,ROUND,APO;131,BROWN
00093-7326-01_812D40CA,OVAL,93;7326,YELLOW
00677-1979-01_9B084DE2,ROUND,SCI;501,YELLOW
65162-0521-11_NLMIMAGE10_0A3E8554,ROUND,AN;521,WHITE
43547-0256-50_NLMIMAGE10_823AC166,OVAL,256,WHITE
605052876,CAPSULE,APO;2;5,WHITE;ORANGE
605050176,CAPSULE,APO;OXA;600,WHITE
477810303,CAPSULE,Macrobid;52427285,YELLOW;BLACK
00054-0255-22_NLMIMAGE10_633BB1CD,OVAL,54;948,YELLOW
00093-5256-68_8727C3AE,CAPSULE,TEVA;5256,BLUE
51991-0074-01_58062C61,CAPSULE,B074,BLUE;YELLOW
617480015,CAPSULE,Rifampin;150;VP;015,ORANGE
633040240,CAPSULE,R50,ORANGE
a3ea2657-a15f-0afe-e053-2995a90a2f07,ROUND,AS;100,YELLOW
240900451,CAPSULE,120;InnoPran;XL,GRAY;WHITE
00555904758part1of4,ROUND,dp;510,PINK
